Movie Name,Critical Label,Critic Rating,Audience Label,Audience Rating
The Last Song,Rotten,20%,Upright,65%
The Horse Whisperer,Fresh,73%,Upright,72%
Midnight Meat Train,Fresh,71%,Spilled,50%
Lawrence of Arabia,Certified Fresh,99%,Upright,93%
Twisted,Rotten,1%,Spilled,31%
Punch-Drunk Love,Certified Fresh,79%,Upright,77%
5 Days of War,Rotten,33%,Spilled,37%
Lucky Numbers,Rotten,22%,Spilled,18%
The Mummy Returns,Rotten,47%,Upright,64%
The Purge: Anarchy,Rotten,58%,Upright,62%
Manderlay,Rotten,51%,Upright,75%
Romeo+Juliet,Rotten,22%,Spilled,48%
The Last Exorcism Part II,Rotten,16%,Spilled,27%
Firestarter,Rotten,39%,Spilled,50%
Venom,Rotten,11%,Spilled,20%
Major League,Fresh,82%,Upright,84%
Letters to God,Rotten,25%,Upright,74%
I Still Know What You Did Last Summer,Rotten,7%,Spilled,29%
The Village,Rotten,43%,Spilled,57%
Riding in Cars with Boys,Rotten,49%,Upright,67%
One Direction: This is Us,Fresh,63%,Upright,80%
30 Days of Night,Rotten,51%,Spilled,56%
One Day,Rotten,36%,Spilled,49%
Bon Voyage,Certified Fresh,76%,Upright,75%
In Too Deep,Rotten,36%,Upright,77%
Cellular,Rotten,55%,Spilled,59%
Ice Princess,Rotten,52%,Spilled,58%
The Omen,Rotten,27%,Spilled,40%
Underworld,Rotten,31%,Upright,79%
Kingpin,Rotten,50%,Upright,70%
Eraser,Rotten,36%,Spilled,39%
Antitrust,Rotten,24%,Spilled,51%
Freakonomics,Fresh,65%,Spilled,51%
Cat People,Fresh,63%,Spilled,46%
Private Benjamin,Fresh,87%,Upright,60%
Brothers,Fresh,63%,Upright,62%
Fong juk,Certified Fresh,81%,Upright,80%
Catch a Fire,Certified Fresh,75%,Upright,71%
Danny the Dog,Fresh,65%,Upright,75%
You've Got Mail,Fresh,69%,Upright,73%
Dogma,Fresh,67%,Upright,85%
Catch That Kid,Rotten,12%,Spilled,48%
Civil Brand,Rotten,16%,Upright,81%
Gridiron Gang,Rotten,42%,Upright,82%
Any Given Sunday,Rotten,50%,Upright,74%
Stripes,Fresh,88%,Upright,80%
Mo' Better Blues,Fresh,73%,Upright,76%
Arbitrage,Certified Fresh,87%,Upright,62%
Patch Adams,Rotten,23%,Upright,74%
Heavy Metal,Rotten,56%,Upright,68%
Beyond Borders,Rotten,14%,Upright,73%
The New World,Fresh,62%,Spilled,58%
The Original Kings of Comedy,Certified Fresh,86%,Upright,79%
Valentine's Day,Rotten,18%,Spilled,47%
Held Up,Rotten,17%,Spilled,45%
Who Framed Roger Rabbit?,Certified Fresh,98%,Upright,84%
Fast and Furious 6,Fresh,68%,Upright,84%
My Dog Skip,Fresh,73%,Upright,68%
Black Nativity,Rotten,48%,Spilled,52%
Love and Death,Fresh,100%,Upright,91%
The Whole Ten Yards,Rotten,4%,Spilled,41%
Men of Honor,Rotten,41%,Upright,82%
The Mask of Zorro,Certified Fresh,83%,Upright,72%
Dungeons and Dragons,Rotten,10%,Spilled,19%
Casper,Rotten,44%,Spilled,49%
Kicking and Screaming,Rotten,41%,Spilled,44%
Slither,Certified Fresh,86%,Upright,62%
Epic,Fresh,64%,Upright,66%
Quigley Down Under,Rotten,56%,Upright,73%
Nacho Libre,Rotten,40%,Spilled,54%
Napoleon Dynamite,Fresh,71%,Upright,74%
The Ghost and the Darkness,Rotten,50%,Upright,72%
Phantom,Rotten,25%,Spilled,34%
The Spectacular Now,Certified Fresh,93%,Upright,77%
Perfume: The Story of a Murderer,Rotten,58%,Upright,74%
Angel Eyes,Rotten,33%,Spilled,46%
Total Recall,Rotten,30%,Spilled,47%
The Greatest Story Ever Told,Rotten,37%,Upright,65%
The Lake House,Rotten,35%,Upright,73%
Sex Drive,Rotten,46%,Spilled,59%
Imagine That,Rotten,40%,Spilled,41%
Anchorman 2: The Legend Continues,Certified Fresh,75%,Spilled,55%
Ever After: A Cinderella Story,Certified Fresh,90%,Upright,84%
The Iron Lady,Rotten,51%,Spilled,51%
Kick-Ass 2,Rotten,29%,Spilled,59%
Fahrenheit 9-11,Certified Fresh,83%,Upright,69%
The Corpse Bride,Certified Fresh,83%,Upright,77%
A Guy Thing,Rotten,24%,Spilled,36%
A Perfect Getaway,Fresh,60%,Spilled,52%
The Lord of the Rings: The Two Towers,Certified Fresh,96%,Upright,95%
V for Vendetta,Certified Fresh,73%,Upright,90%
Resident Evil: Extinction,Rotten,22%,Spilled,58%
Peeples,Rotten,35%,Spilled,50%
The Last Castle,Rotten,52%,Upright,75%
Bewitched,Rotten,25%,Spilled,28%
Faithful,Rotten,7%,Spilled,48%
Gladiator,Certified Fresh,76%,Upright,87%
Aberdeen,Fresh,87%,Upright,81%
2 For the Money,Rotten,22%,Spilled,48%
Super Troopers,Rotten,35%,Upright,90%
Barbershop,Certified Fresh,82%,Upright,61%
Gran Torino,Certified Fresh,79%,Upright,90%
You Again,Rotten,17%,Spilled,43%
Junebug,Certified Fresh,86%,Upright,74%
2001: A Space Odyssey,Certified Fresh,95%,Upright,89%
Harry Potter and the Half-Blood Prince,Certified Fresh,84%,Upright,77%
London to Brighton,Fresh,68%,Upright,75%
Hugo,Certified Fresh,94%,Upright,78%
The Bodyguard,Rotten,32%,Upright,64%
Osama,Certified Fresh,96%,Upright,87%
Eat Pray Love,Rotten,36%,Spilled,42%
Our Idiot Brother,Fresh,67%,Spilled,52%
Anywhere But Here,Fresh,64%,Spilled,56%
The Gospel of John,Rotten,36%,Upright,87%
The Hurricane,Certified Fresh,83%,Upright,87%
The Debt,Certified Fresh,77%,Upright,66%
Back to the Future Part II,Fresh,64%,Upright,85%
Analyze This,Fresh,69%,Upright,62%
The Game of Their Lives,Rotten,26%,Spilled,57%
Swingers,Certified Fresh,87%,Upright,89%
Bandslam,Certified Fresh,81%,Upright,64%
Winter in Wartime,Certified Fresh,72%,Upright,78%
Hulk,Fresh,62%,Spilled,29%
Ghosts of Mississippi,Rotten,46%,Upright,63%
Music and Lyrics,Fresh,62%,Upright,68%
Steamboy,Fresh,60%,Upright,68%
Baby Geniuses,Rotten,2%,Spilled,23%
Standard Operating Procedure,Certified Fresh,79%,Upright,79%
Stone,Rotten,51%,Spilled,21%
Ira and Abby,Fresh,69%,Upright,62%
Peggy Sue Got Married,Fresh,85%,Spilled,54%
White House Down,Rotten,50%,Upright,63%
A Simple Plan,Certified Fresh,90%,Upright,80%
Black Knight,Rotten,14%,Spilled,34%
Side Effects,Certified Fresh,83%,Upright,70%
Transcendence,Rotten,19%,Spilled,39%
Step Up 3D,Rotten,46%,Upright,64%
Blue Jasmine,Certified Fresh,91%,Upright,77%
Get Over It,Rotten,44%,Spilled,52%
Scary Movie 4,Rotten,37%,Spilled,51%
Mrs. Winterbourne,Rotten,7%,Upright,64%
Home on the Range,Rotten,54%,Spilled,29%
Silverado,Fresh,76%,Upright,81%
The Mechanic,Rotten,53%,Spilled,51%
Pride and Glory,Rotten,35%,Spilled,50%
Delgo,Rotten,12%,Spilled,26%
Time Bandits,Fresh,92%,Upright,77%
Outbreak,Rotten,59%,Spilled,56%
Texas Chainsaw 3D,Rotten,19%,Spilled,42%
De battre mon coeur s'est arrêté,Certified Fresh,85%,Upright,84%
Taps,Fresh,75%,Upright,67%
My Baby's Daddy,Rotten,4%,Spilled,49%
Three to Tango,Rotten,28%,Spilled,48%
The Lucky One,Rotten,20%,Upright,67%
Restless,Rotten,36%,Spilled,48%
The Frozen,Fresh,62%,Spilled,46%
Cirque du Soleil: Worlds Away,Rotten,47%,Spilled,58%
Godzilla,Certified Fresh,73%,Upright,69%
The Ghost Writer,Certified Fresh,83%,Upright,70%
Silent Movie,Fresh,89%,Upright,73%
Jurassic Park,Certified Fresh,93%,Upright,90%
National Lampoon's Animal House,Certified Fresh,91%,Upright,89%
Fruitvale Station,Certified Fresh,93%,Upright,87%
Ready to Rumble,Rotten,23%,Spilled,52%
Transformers,Rotten,57%,Upright,86%
Journey 2: The Mysterious Island,Rotten,42%,Spilled,59%
Hang 'em High,Fresh,92%,Upright,73%
The Hurt Locker,Certified Fresh,97%,Upright,84%
Out of the Furnace,Rotten,53%,Spilled,52%
Enough,Rotten,22%,Upright,68%
Rain Man,Certified Fresh,90%,Upright,90%
Rush Hour,Fresh,60%,Upright,79%
12 Rounds,Rotten,29%,Spilled,45%
Sex Tape,Rotten,18%,Spilled,38%
Me and You and Everyone We Know,Certified Fresh,81%,Upright,85%
All About Steve,Rotten,7%,Spilled,30%
Knowing,Rotten,33%,Spilled,42%
In Cold Blood,Fresh,88%,Upright,88%
I am Number Four,Rotten,33%,Spilled,58%
Man of the House,Rotten,9%,Spilled,47%
A Few Good Men,Certified Fresh,81%,Upright,89%
Three Kings,Certified Fresh,94%,Upright,77%
Atlantis: The Lost Empire,Rotten,49%,Spilled,51%
Boomerang,Rotten,38%,Upright,60%
Shall We Dance?,Rotten,46%,Spilled,57%
Money Talks,Rotten,16%,Upright,72%
MOOZ-lum,Fresh,78%,Upright,78%
The Honeymooners,Rotten,14%,Spilled,30%
"South Park: Bigger, Longer & Uncut",Certified Fresh,81%,Upright,88%
Don Juan DeMarco,Fresh,74%,Upright,69%
Punisher: War Zone,Rotten,27%,Spilled,42%
A Serious Man,Certified Fresh,89%,Upright,67%
Fifty Dead Men Walking,Certified Fresh,88%,Upright,68%
Snow Day,Rotten,28%,Spilled,27%
The Lion King,Certified Fresh,90%,Upright,93%
Hybrid,Fresh,87%,Upright,100%
House Party 2,Rotten,21%,Upright,66%
Liar Liar,Certified Fresh,81%,Upright,75%
Spy Hard,Rotten,8%,Spilled,33%
Last Orders,Certified Fresh,79%,Upright,72%
Exotica,Fresh,97%,Upright,84%
L'illusionniste,Certified Fresh,90%,Upright,79%
The Tooth Fairy,Rotten,18%,Spilled,42%
Stone Cold,Rotten,29%,Upright,64%
Aeon Flux,Rotten,10%,Spilled,39%
Planet of the Apes,Rotten,45%,Spilled,27%
Blood Simple,Certified Fresh,94%,Upright,88%
The Blood of My Brother: A Story of Death in Iraq,Fresh,71%,Spilled,59%
The Lost World: Jurassic Park,Rotten,52%,Spilled,52%
Bandits,Fresh,65%,Spilled,58%
Molière,Certified Fresh,70%,Upright,79%
Tailor of Panama,Certified Fresh,77%,Spilled,46%
The Brothers McMullen,Fresh,91%,Upright,60%
Walking Tall,Rotten,25%,Upright,60%
Battle of the Year,Rotten,6%,Spilled,50%
Con Air,Rotten,55%,Upright,75%
No Country for Old Men,Certified Fresh,94%,Upright,86%
The Mummy: Tomb of the Dragon Emperor,Rotten,13%,Spilled,30%
Return of the Living Dead 3,Rotten,44%,Spilled,40%
Speed,Certified Fresh,93%,Upright,75%
The Reaping,Rotten,8%,Spilled,49%
The Adventures of Tintin,Certified Fresh,75%,Upright,74%
Graduation Day,Rotten,40%,Spilled,19%
Firefox,Rotten,42%,Spilled,41%
Disturbia,Fresh,68%,Upright,77%
In the Heat of the Night,Fresh,94%,Upright,92%
The House of the Dead,Rotten,4%,Spilled,9%
Love Happens,Rotten,16%,Spilled,37%
The Canyons,Rotten,24%,Spilled,16%
8 Heads in a Duffel Bag,Rotten,11%,Spilled,35%
"The Book of Mormon Movie, Volume 1: The Journey",Rotten,17%,Spilled,15%
Pokemon 3: The Movie,Rotten,22%,Spilled,51%
Cast Away,Certified Fresh,90%,Upright,83%
Season of the Witch,Rotten,10%,Spilled,31%
Toy Story 2,Certified Fresh,100%,Upright,86%
The Exploding Girl,Fresh,74%,Spilled,54%
The House of Magic,Fresh,69%,Upright,61%
Fool's Gold,Rotten,11%,Spilled,48%
Chocolat,Fresh,63%,Upright,83%
Shrek the Third,Rotten,40%,Spilled,53%
Up Close & Personal,Rotten,29%,Upright,67%
The Shining,Certified Fresh,92%,Upright,93%
Oculus,Fresh,74%,Spilled,53%
Take the Lead,Rotten,44%,Upright,77%
Akeelah and the Bee,Certified Fresh,84%,Upright,81%
The Jacket,Rotten,44%,Upright,74%
Babel,Fresh,69%,Upright,77%
Elizabethtown,Rotten,28%,Upright,66%
Megaforce,Rotten,0%,Spilled,42%
In & Out,Fresh,73%,Spilled,51%
The Tempest,Rotten,30%,Spilled,27%
Idle Hands,Rotten,16%,Spilled,58%
The Crying Game,Certified Fresh,100%,Upright,78%
Treasure Planet,Fresh,68%,Upright,70%
Dark Blue,Rotten,58%,Spilled,53%
Deterrence,Rotten,46%,Spilled,59%
Moon,Certified Fresh,89%,Upright,89%
Big Fish,Certified Fresh,77%,Upright,89%
Grudge Match,Rotten,29%,Spilled,49%
Kevin Hart: Laugh at My Pain,Fresh,71%,Upright,85%
The Deer Hunter,Certified Fresh,93%,Upright,92%
Memoirs of a Geisha,Rotten,35%,Upright,83%
The 5th Quarter,Rotten,50%,Upright,63%
Mission: Impossible - Ghost Protocol,Certified Fresh,93%,Upright,76%
Devil's Due,Rotten,18%,Spilled,21%
Election,Certified Fresh,92%,Upright,79%
Songcatcher,Fresh,74%,Upright,78%
Real Steel,Fresh,60%,Upright,73%
Proof of Life,Rotten,40%,Spilled,44%
Forrest Gump,Fresh,71%,Upright,95%
Chasing Amy,Certified Fresh,88%,Upright,83%
About a Boy,Certified Fresh,93%,Spilled,54%
The Widow of St. Pierre,Certified Fresh,88%,Upright,77%
Sex and the City 2,Rotten,15%,Spilled,43%
Halloween,Rotten,25%,Upright,60%
Bait,Rotten,26%,Spilled,42%
Post Grad,Rotten,8%,Spilled,27%
Envy,Rotten,7%,Spilled,27%
The Maid's Room,Rotten,27%,Spilled,36%
Quest for Camelot,Rotten,36%,Upright,60%
Behind Enemy Lines,Rotten,37%,Upright,62%
Payback,Rotten,54%,Upright,69%
Apollo 18,Rotten,24%,Spilled,23%
Ride Along,Rotten,18%,Upright,60%
The Grace Card,Rotten,35%,Upright,82%
A Time to Kill,Fresh,67%,Upright,86%
Jaws,Certified Fresh,98%,Upright,90%
Good Dick,Rotten,51%,Spilled,52%
Walking with Dinosaurs,Rotten,24%,Spilled,42%
Unfaithful,Rotten,49%,Upright,69%
You Kill Me,Certified Fresh,78%,Spilled,59%
It's a Mad Mad Mad Mad World,Fresh,75%,Upright,83%
The End of the Affair,Fresh,67%,Upright,75%
Serendipity,Rotten,58%,Upright,79%
Welcome to the Rileys,Rotten,55%,Spilled,58%
Travellers and Magicians,Certified Fresh,93%,Upright,81%
Quantum of Solace,Fresh,64%,Spilled,59%
American Dreamz,Rotten,41%,Spilled,31%
The Waterboy,Rotten,35%,Upright,71%
An Alan Smithee Film: Burn Hollywood Burn,Rotten,8%,Spilled,14%
The White Countess,Rotten,50%,Spilled,50%
Meet the Deedles,Rotten,4%,Spilled,39%
Turbulence,Rotten,17%,Spilled,19%
A Good Year,Rotten,25%,Upright,65%
Spy Kids,Certified Fresh,93%,Spilled,45%
Wreck-It Ralph,Certified Fresh,86%,Upright,86%
Poltergeist III,Rotten,13%,Spilled,24%
The Rainmaker,Certified Fresh,82%,Upright,77%
Trainspotting,Certified Fresh,89%,Upright,94%
Valkyrie,Fresh,62%,Upright,65%
Knight and Day,Rotten,53%,Spilled,49%
The Ten Commandments,Rotten,14%,Spilled,53%
The Best Little Whorehouse in Texas,Rotten,56%,Upright,69%
The Bourne Ultimatum,Certified Fresh,94%,Upright,91%
TMNT,Rotten,34%,Upright,61%
Get Rich or Die Tryin',Rotten,16%,Upright,70%
Tootsie,Certified Fresh,88%,Upright,81%
The Return of the Living Dead,Fresh,90%,Upright,79%
Magic Mike,Certified Fresh,80%,Upright,61%
Signs,Certified Fresh,74%,Upright,67%
Becoming Jane,Rotten,57%,Upright,74%
The Bridge on the River Kwai,Certified Fresh,94%,Upright,94%
He's Just Not That Into You,Rotten,40%,Upright,60%
The Untouchables,Certified Fresh,80%,Upright,89%
Biutiful,Fresh,64%,Upright,75%
La femme de chambre du Titanic,Fresh,81%,Upright,60%
Jonah: A VeggieTales Movie,Fresh,65%,Upright,75%
Surveillance,Rotten,55%,Spilled,43%
The Oogieloves in the BIG Balloon Adventure,Rotten,27%,Upright,68%
Twilight Zone: The Movie,Fresh,65%,Spilled,55%
Runaway Bride,Rotten,46%,Spilled,53%
Doom,Rotten,19%,Spilled,34%
Hero,Fresh,68%,Spilled,50%
SpongeBob SquarePants,Fresh,68%,Upright,77%
No Strings Attached,Rotten,49%,Spilled,52%
Recess: School's Out,Fresh,61%,Spilled,55%
A Very Long Engagement,Certified Fresh,78%,Upright,85%
The Bad News Bears,Rotten,48%,Spilled,46%
Gentleman's Agreement,Fresh,76%,Upright,78%
Extreme Measures,Rotten,55%,Spilled,41%
Austin Powers: The Spy Who Shagged Me,Rotten,51%,Upright,72%
21,Rotten,36%,Upright,66%
The Poker House,Fresh,80%,Upright,69%
The Great Raid,Rotten,37%,Upright,71%
Domestic Disturbance,Rotten,23%,Spilled,38%
The Simpsons Movie,Certified Fresh,90%,Upright,77%
102 Dalmatians,Rotten,31%,Spilled,32%
A League of Their Own,Certified Fresh,76%,Upright,84%
The Santa Clause 2,Rotten,55%,Spilled,42%
Bulworth,Certified Fresh,75%,Upright,68%
Ghost Rider,Rotten,26%,Spilled,48%
Notting Hill,Certified Fresh,83%,Upright,79%
Mission: Impossible 2,Rotten,57%,Spilled,44%
Lost In Space,Rotten,28%,Spilled,24%
The Messenger,Certified Fresh,90%,Upright,75%
The Kingdom,Rotten,51%,Upright,77%
Jackass: Number Two,Fresh,63%,Upright,81%
American Beauty,Certified Fresh,88%,Upright,93%
The Usual Suspects,Certified Fresh,88%,Upright,96%
Munich,Certified Fresh,78%,Upright,83%
Terminator 2: Judgment Day,Certified Fresh,92%,Upright,94%
Halloween: Resurrection,Rotten,12%,Spilled,28%
Redemption Road,Rotten,57%,Spilled,59%
Brighton Rock,Rotten,51%,Spilled,33%
Julie & Julia,Certified Fresh,75%,Upright,70%
Firestorm,Rotten,12%,Spilled,25%
The Dictator,Rotten,57%,Spilled,45%
Rugrats in Paris,Certified Fresh,75%,Spilled,55%
Cowboys and Aliens,Rotten,44%,Spilled,44%
Takers,Rotten,28%,Upright,62%
The Borrowers,Fresh,73%,Spilled,49%
Closer,Fresh,68%,Upright,81%
A Dog of Flanders,Rotten,21%,Upright,64%
Madagascar,Rotten,55%,Upright,67%
John Carter,Rotten,51%,Upright,60%
Incendies,Certified Fresh,92%,Upright,92%
End of Days,Rotten,11%,Spilled,33%
Air Bud,Rotten,45%,Spilled,38%
Space Jam,Rotten,35%,Upright,63%
Ronin,Fresh,68%,Upright,80%
Kids,Rotten,49%,Upright,77%
The Birth of a Nation,Fresh,100%,Spilled,57%
Barney's Great Adventure,Rotten,26%,Spilled,40%
The Bridge of San Luis Rey,Rotten,4%,Spilled,34%
Thinner,Rotten,16%,Spilled,30%
Dredd,Certified Fresh,78%,Upright,72%
Race to Witch Mountain,Rotten,43%,Spilled,44%
The Devil's Own,Rotten,31%,Spilled,42%
The Fast and the Furious,Rotten,53%,Upright,74%
Rendition,Rotten,47%,Upright,62%
Lord of War,Fresh,61%,Upright,85%
A Walk on the Moon,Fresh,72%,Upright,70%
Wild Target,Rotten,32%,Spilled,56%
Street Kings,Rotten,36%,Spilled,58%
Jersey Girl,Rotten,41%,Spilled,48%
Hannibal Rising,Rotten,15%,Spilled,56%
Assassins,Rotten,16%,Spilled,45%
Be Kind Rewind,Fresh,66%,Spilled,56%
Mumford,Rotten,56%,Upright,67%
Good Boy!,Rotten,45%,Spilled,41%
Fly Me To the Moon,Rotten,19%,Spilled,24%
The Object of my Affection,Rotten,49%,Spilled,52%
Boynton Beach Club,Fresh,60%,Spilled,45%
Sunshine,Certified Fresh,75%,Upright,73%
The Oxford Murders,Rotten,10%,Spilled,33%
Pieces of April,Certified Fresh,84%,Upright,73%
Close Encounters of the Third Kind,Certified Fresh,96%,Upright,85%
Lone Star,Certified Fresh,93%,Upright,84%
Modern Times,Certified Fresh,100%,Upright,95%
The Chronicles of Riddick,Rotten,29%,Upright,65%
Trippin',Rotten,18%,Upright,80%
Conan the Destroyer,Rotten,27%,Spilled,39%
Contraband,Rotten,51%,Spilled,57%
Whale Rider,Certified Fresh,90%,Upright,89%
Dudley Do-Right,Rotten,16%,Spilled,23%
The Howling,Fresh,66%,Spilled,58%
The Host,Fresh,60%,Spilled,20%
Wallace & Gromit: The Curse of the Were-Rabbit,Certified Fresh,95%,Upright,79%
The Juror,Rotten,15%,Spilled,32%
The Unborn,Rotten,11%,Spilled,30%
Shooter,Rotten,48%,Upright,80%
Feast,Rotten,56%,Upright,60%
Source Code,Certified Fresh,92%,Upright,81%
Fantastic Four,Rotten,27%,Spilled,46%
You Can Count on Me,Certified Fresh,95%,Upright,89%
Birth,Rotten,39%,Spilled,43%
Man on a Ledge,Rotten,32%,Spilled,52%
Crimson Tide,Certified Fresh,87%,Upright,83%
Knocked Up,Certified Fresh,90%,Upright,83%
Wordplay,Certified Fresh,95%,Upright,80%
Transsiberian,Certified Fresh,91%,Upright,65%
A Nightmare On Elm Street: The Dream Child,Rotten,33%,Spilled,33%
The Possession,Rotten,40%,Spilled,49%
Super Size Me,Certified Fresh,93%,Upright,72%
Find Me Guilty,Fresh,61%,Upright,62%
Barry Lyndon,Certified Fresh,96%,Upright,92%
Sommersturm,Rotten,48%,Upright,78%
Nowhere Boy,Certified Fresh,79%,Upright,74%
The Wizard of Oz,Certified Fresh,99%,Upright,89%
Riddick,Rotten,59%,Spilled,54%
Kate and Leopold,Rotten,50%,Upright,63%
Unstoppable,Certified Fresh,86%,Upright,73%
The Adventures of Huck Finn,Fresh,69%,Spilled,49%
My Boss's Daughter,Rotten,8%,Spilled,23%
"Food, Inc.",Certified Fresh,96%,Upright,86%
"Next Stop, Wonderland",Certified Fresh,74%,Upright,74%
Friday the 13th Part VII: The New Blood,Rotten,28%,Spilled,38%
True Romance,Certified Fresh,92%,Upright,93%
9,Rotten,37%,Spilled,37%
Day of the Dead,Rotten,14%,Spilled,22%
Downfall,Certified Fresh,91%,Upright,94%
The Bone Collector,Rotten,28%,Upright,64%
Evolution,Rotten,43%,Spilled,48%
Friday the 13th,Rotten,25%,Spilled,46%
Le Violon rouge,Fresh,73%,Upright,92%
Racing Stripes,Rotten,35%,Spilled,43%
Paparazzi,Rotten,18%,Spilled,39%
Stardust,Certified Fresh,76%,Upright,86%
The Postman Always Rings Twice,Fresh,83%,Upright,60%
Lilo & Stitch,Certified Fresh,86%,Upright,76%
Night of the Living Dead,Certified Fresh,96%,Upright,88%
Alive,Fresh,68%,Upright,69%
Night at the Museum,Rotten,44%,Upright,67%
Ed Wood,Certified Fresh,92%,Upright,88%
As Good as it Gets,Certified Fresh,86%,Upright,87%
Frozen River,Certified Fresh,87%,Upright,74%
Die Another Day,Rotten,57%,Spilled,42%
Pulp Fiction,Certified Fresh,94%,Upright,96%
From Russia With Love,Certified Fresh,96%,Upright,84%
Monty Python and the Holy Grail,Certified Fresh,97%,Upright,95%
Short Cut to Nirvana: Kumbh Mela,Fresh,73%,Upright,76%
The Life Aquatic with Steve Zissou,Rotten,56%,Upright,83%
Kingdom Come,Rotten,28%,Upright,73%
Letters to Juliet,Rotten,40%,Upright,62%
Michael Clayton,Certified Fresh,90%,Upright,69%
Catwoman,Rotten,9%,Spilled,18%
The Battle of Shaker Heights,Rotten,41%,Spilled,51%
Star Trek: First Contact,Certified Fresh,92%,Upright,89%
The Great Escape,Certified Fresh,93%,Upright,95%
Johnny Suede,Rotten,36%,Spilled,48%
Silver Linings Playbook,Certified Fresh,92%,Upright,86%
Edge of Darkness,Rotten,56%,Spilled,49%
Taken 2,Rotten,21%,Spilled,53%
Little Fockers,Rotten,10%,Spilled,35%
October Baby,Rotten,22%,Upright,80%
The Last Airbender,Rotten,6%,Spilled,31%
Superman II,Certified Fresh,89%,Upright,75%
Exorcist II: The Heretic,Rotten,22%,Spilled,13%
The Royal Tenenbaums,Certified Fresh,81%,Upright,89%
Scary Movie 2,Rotten,15%,Spilled,53%
Saving Face,Certified Fresh,87%,Upright,88%
Cursed,Rotten,16%,Spilled,30%
Bacheha-Ye aseman,Fresh,82%,Upright,96%
Limbo,Fresh,72%,Upright,69%
Step Up Revolution,Rotten,42%,Upright,69%
Resident Evil: Afterlife 3D ,Rotten,23%,Spilled,49%
Mean Creek,Certified Fresh,90%,Upright,81%
Rambo III,Rotten,36%,Spilled,46%
Heartbeeps,Rotten,0%,Spilled,20%
Head of State,Rotten,31%,Spilled,47%
The Front Page,Fresh,73%,Upright,73%
Micmacs,Certified Fresh,74%,Upright,74%
Evil Dead,Fresh,62%,Upright,64%
Be Cool,Rotten,30%,Spilled,43%
The Jackal,Rotten,15%,Spilled,53%
Collateral Damage,Rotten,19%,Spilled,27%
A Knight's Tale,Rotten,58%,Upright,79%
Apocalypse Now,Certified Fresh,99%,Upright,94%
Exorcist: The Beginning,Rotten,11%,Spilled,28%
Ted,Fresh,68%,Upright,74%
Rescue Dawn,Certified Fresh,90%,Upright,74%
Requiem for a Dream,Certified Fresh,78%,Upright,93%
Ajami,Certified Fresh,97%,Upright,81%
The Upside of Anger,Certified Fresh,74%,Upright,63%
1776,Fresh,64%,Upright,85%
Bring it On,Fresh,64%,Upright,66%
Lost Souls,Rotten,7%,Spilled,22%
Bulletproof Monk,Rotten,23%,Spilled,38%
Wes Craven's New Nightmare,Fresh,77%,Upright,66%
Once in a Lifetime: the Extraordinary Story of the New York Cosmos,Certified Fresh,82%,Upright,78%
Mars Attacks!,Rotten,52%,Spilled,53%
Shakespeare in Love,Certified Fresh,92%,Upright,80%
What a Girl Wants,Rotten,35%,Upright,62%
My Dog Tulip,Certified Fresh,91%,Upright,70%
After Earth,Rotten,11%,Spilled,37%
District 9,Certified Fresh,90%,Upright,82%
Zookeeper,Rotten,14%,Spilled,42%
Double Impact,Rotten,14%,Spilled,42%
The Smurfs,Rotten,22%,Spilled,44%
Loser,Rotten,24%,Spilled,36%
House on Haunted Hill,Rotten,27%,Spilled,42%
RoboCop,Rotten,48%,Spilled,53%
The Prestige,Certified Fresh,76%,Upright,92%
Sweet Home Alabama,Rotten,38%,Upright,78%
The Case of the Grinning Cat,Fresh,100%,Upright,73%
Persepolis,Certified Fresh,96%,Upright,92%
Poseidon,Rotten,33%,Spilled,44%
The Conjuring,Certified Fresh,86%,Upright,82%
American History X,Certified Fresh,83%,Upright,96%
Wendy and Lucy,Certified Fresh,85%,Upright,67%
Everyone Says I Love You,Certified Fresh,79%,Upright,69%
The Twilight Saga: New Moon,Rotten,28%,Upright,61%
Snitch,Rotten,56%,Upright,61%
Bones,Rotten,21%,Spilled,39%
Mercury Rising,Rotten,17%,Spilled,41%
The Oh in Ohio,Rotten,22%,Spilled,35%
Marie Antoinette,Rotten,55%,Spilled,56%
Peter Pan,Certified Fresh,77%,Upright,74%
Kill List,Certified Fresh,76%,Spilled,57%
Meet Joe Black,Rotten,51%,Upright,81%
City of Angels,Rotten,58%,Upright,83%
Gone with the Wind,Certified Fresh,95%,Upright,93%
Kick-Ass,Certified Fresh,76%,Upright,81%
The Santa Clause,Certified Fresh,75%,Upright,64%
Mr. And Mrs. Smith,Rotten,59%,Spilled,58%
Billy Elliot,Certified Fresh,85%,Upright,89%
History of the World: Part I,Fresh,62%,Upright,82%
Ice Age: Dawn of the Dinosaurs,Rotten,45%,Upright,63%
Tango & Cash,Rotten,34%,Spilled,52%
Jackie Brown,Certified Fresh,86%,Upright,85%
Rocky Balboa,Certified Fresh,76%,Upright,76%
The Big Year,Rotten,40%,Spilled,40%
The Proposal,Rotten,44%,Upright,68%
"The Twilight Saga: Breaking Dawn, Part 1",Rotten,24%,Spilled,59%
The Blind Side,Fresh,66%,Upright,85%
The Town,Certified Fresh,94%,Upright,84%
The Order,Rotten,8%,Spilled,39%
Mystery Men,Fresh,60%,Spilled,57%
