Movie Name,Release Date,Genre,Budget,Gross,RT Critic Label,RT Critic Rating,RT Audience Label,RT Audience Rating,IMDB Rating,Directors,Producers,Sreenwriters,Actors
As Good as it Gets, 1997/12/24,Romantic Comedy,50000000.0,148478011.0,Certified Fresh,86%,Upright,87%,7.8,James L. Brooks,James L. Brooks|Bridget Johnson|Kristi Zea,Mark Andrus|James L. Brooks,"Jack Nicholson|Helen Hunt|Greg Kinnear|Skeet Ulrich|Cuba Gooding, Jr."
The Talented Mr. Ripley, 1999/12/24,Drama,40000000.0,81292135.0,Certified Fresh,83%,Upright,80%,7.3,Anthony Minghella,William Horberg|Tom Sternberg,Anthony Minghella,Matt Damon|Gwyneth Paltrow|Jude Law|Cate Blanchett|Philip Seymour Hoffman
The Covenant, 2006/9/8,Thriller/Suspense,20000000.0,23364784.0,Rotten,3%,Upright,62%,5.2,Renny Harlin,Tom Rosenberg|Gary Lucchesi,J.S. Cardone,Steven Strait|Sebastian Stan|Laura Ramsey|Taylor Kitsch|Toby Hemingway
The Passion of the Christ, 2004/2/25,Drama,25000000.0,370782930.0,Rotten,49%,Upright,80%,7.1,Mel Gibson,Bruce Davey|Stephen McEveety|Mel Gibson|Keith Vanderlaan,Benedict Fitzgerald|Mel Gibson,James Caviezel|Monica Bellucci|Claudia Gerini|Miai Morgenstern|Sergio Rubini
The Secret Life of Bees, 2008/10/17,Drama,11000000.0,37770162.0,Rotten,58%,Upright,78%,7.3,Gina Prince-Bythewood,Lauren Shuler Donner|James Lassiter|Joe Pichirallo,Gina Prince-Bythewood,Queen Latifah|Dakota Fanning|Jennifer Hudson|Alicia Keys|Sophie Okonedo
Winter's Tale, 2014/2/14,Drama,60000000.0,12600231.0,Rotten,13%,Spilled,45%,6.2,Akiva Goldsman,Akiva Goldsman|Marc Platt|Michael Tadross|Tony Allard,Akiva Goldsman,Colin Farrell|Jessica Brown Findlay|Jennifer Connelly|William Hurt|Eva Marie Saint
Transformers: Revenge of the Fallen, 2009/6/24,Action,210000000.0,402111870.0,Rotten,19%,Spilled,58%,6.0,Michael Bay,Don Murphy|Tom DeSanto|Ian Bryce|Lorenzo di Bonaventura,Ehren Kruger|Roberto Orci|Alex Kurtzman,Shia LaBeouf|Megan Fox|Josh Duhamel|Tyrese Gibson|John Turturro
True Romance, 1993/9/10,Thriller/Suspense,12500000.0,12281000.0,Certified Fresh,92%,Upright,93%,8.0,Tony Scott,Samuel Hadida|Steve Perry|Bill Unger,Quentin Tarantino,Christian Slater|Patricia Arquette|Dennis Hopper|Val Kilmer|Gary Oldman
Chasing Mavericks, 2012/10/26,Drama,20000000.0,6002756.0,Rotten,31%,Upright,71%,7.1,Curtis Hanson|Michael Apted,Curtis Hanson|Jim Meenaghan|Brandon Hooper|Mark Johnson,Kario Salem,Gerard Butler|Jonny Weston|Elisabeth Shue|Abigail Spencer
Stuart Little, 1999/12/17,Comedy,105000000.0,140015224.0,Fresh,66%,Spilled,41%,5.9,Rob Minkoff,Douglas Wick,M. Night Shyamalan|Greg Brooker,Geena Davis|Hugh Laurie|Jonathan Lipnicki|Jeffrey Jones|Connie Ray
Something's Gotta Give, 2003/12/12,Romantic Comedy,80000000.0,124685242.0,Fresh,71%,Upright,69%,6.8,Nancy Meyers,Bruce A. Block|Nancy Meyers,Nancy Meyers,Jack Nicholson|Diane Keaton|Keanu Reeves|Frances McDormand|Amanda Peet
Another Year, 2010/12/29,Drama,8000000.0,3205706.0,Certified Fresh,93%,Upright,74%,7.3,Mike Leigh,Georgina Lowe,Mike Leigh,Jim Broadbent|Ruth Sheen|Lesley Manville|Oliver Maltman|Peter Wight
Amour, 2012/12/19,Drama,9700000.0,6738954.0,Certified Fresh,93%,Upright,82%,7.8,Michael Haneke,Margaret Menegoz|Stefan Arndt|Veit Heiduschka|Michael Katz,Michael Haneke,Jean-Louis Trintignant|Emmanuelle Riva|Isabelle Huppert|Alexandre Tharaud|William Shimell
The Matrix Reloaded, 2003/5/15,Action,127000000.0,281553689.0,Certified Fresh,73%,Upright,72%,7.2,Andy Wachowski,Joel Silver,Andy Wachowski|Lana Wachowski,Keanu Reeves|Laurence Fishburne|Carrie Anne Moss|Hugo Weaving|Jada Pinkett Smith
It's Kind of a Funny Story, 2010/10/8,Comedy,8000000.0,6363628.0,Rotten,58%,Upright,66%,7.2,Ryan Fleck|Anna Boden,Kevin Misher|Ben Browning,Ryan Fleck|Anna Boden,Keir Gilchrist|Emma Roberts|Viola Davis|Lauren Graham|Jim Gaffigan
Marvin's Room, 1996/12/20,Drama,23000000.0,12803305.0,Certified Fresh,80%,Upright,62%,6.7,Jerry Zaks,Scott Rudin|Jane Rosenthal|Robert De Niro,Scott McPherson,Meryl Streep|Leonardo DiCaprio|Diane Keaton|Robert De Niro|Hume Cronyn
Indiana Jones and the Last Crusade, 1989/5/24,Adventure,48000000.0,197171806.0,Certified Fresh,88%,Upright,94%,8.3,Steven Spielberg,Robert Watts,Jeffrey Boam,Harrison Ford|Denholm Elliott|Alison Doody|John Rhys-Davies|Julian Glover
Mr. Deeds, 2002/6/28,Comedy,50000000.0,126293452.0,Rotten,22%,Upright,60%,5.8,Steven Brill,Sid Ganis|Jack Giarraputo,Tim Herlihy,Adam Sandler|Winona Ryder|Peter Gallagher|Jared Harris|Allen Covert
Killer Elite, 2011/9/23,Action,70000000.0,25124986.0,Rotten,25%,Spilled,43%,6.5,Gary McKendry,Sigurjon Sighvatsson|Steven Chasman|Michael Boughen|Tony Winley,Matt Sherring,Jason Statham|Clive Owen|Robert De Niro|Adewale Akinnuoye-Agbaje|George Murphy
The Odd Life of Timothy Green, 2012/8/15,Drama,40000000.0,51853450.0,Rotten,33%,Upright,68%,6.6,Peter Hedges,Jim Whitaker|Scott Sanders|Ahmet Zappa,Peter Hedges,Jennifer Garner|Joel Edgerton|C.J. Adams|Odeya Rush|Shohreh Aghdashloo
Devil, 2010/9/17,Horror,10000000.0,33679655.0,Rotten,52%,Spilled,43%,6.3,John Erick Dowdle,M. Night Shyamalan|Sam Mercer,Brian Nelson,Chris Messina|Logan Marshall-Green|Geoffrey Arend|Bojana Novakovic|Jenny O Hara
Mission: Impossible III, 2006/5/5,Action,150000000.0,133501348.0,Fresh,70%,Upright,69%,6.8,J.J. Abrams,Tom Cruise|Paula Wagner,Alex Kurtzman|Roberto Orci|J.J. Abrams,Tom Cruise|Philip Seymour Hoffman|Ving Rhames|Billy Crudup|Michelle Monaghan
The Golden Child, 1986/12/12,Action,12000000.0,79817937.0,Rotten,26%,Spilled,48%,5.8,Michael Ritchie,Edward S. Feldman|Robert D. Wachs,Dennis Feldman,Eddie Murphy|Randall 'Tex' Cobb|Charles Dance|James Hong|Frank Welker
ParaNorman, 2012/8/17,Comedy,60000000.0,56003051.0,Certified Fresh,87%,Upright,72%,7.0,Sam Fell|Chris Butler,Arianne Sutner|Travis Knight,Chris Butler,Kodi Smit-McPhee|Tucker Albrizzi|Anna Kendrick|Casey Affleck|Christopher Mintz-Plasse
Scott Pilgrim vs. The World, 2010/8/13,Comedy,85000000.0,31611316.0,Certified Fresh,82%,Upright,83%,7.5,Edgar Wright,Marc Platt|Eric Gitter|Nira Park,Michael Bacall|Edgar Wright,Michael Cera|Alison Pill|Mark Webber|Johnny Simmons|Ellen Wong
Big Daddy, 1999/6/25,Comedy,30000000.0,163479795.0,Rotten,40%,Upright,75%,6.4,Dennis Dugan,Sid Ganis|Jack Giarraputo,Steve Franks|Tim Herlihy|Adam Sandler,Adam Sandler|Joey Lauren Adams|Jon Stewart|Cole Sprouse|Dylan Sprouse
Crash, 2005/5/6,Drama,7303082.0,55334418.0,Certified Fresh,75%,Upright,89%,7.9,Paul Haggis,Cathy Schulman|Don Cheadle|Bob Yari|Mark R. Harris|Bobby Moresco|Paul Haggis,Paul Haggis|Bobby Moresco,Sandra Bullock|Don Cheadle|Matt Dillon|Jennifer Esposito|William Fichtner
Batman Returns, 1992/6/18,Action,80000000.0,162833635.0,Certified Fresh,81%,Upright,72%,7.0,Tim Burton,Denise Di Novi|Tim Burton,Daniel Waters,Michael Keaton|Danny De Vito|Michelle Pfeiffer|Christopher Walken|Michael Gough
Identity Thief, 2013/2/8,Comedy,35000000.0,134506920.0,Rotten,19%,Spilled,54%,5.7,Seth Gordon,Scott Stuber|Jason Bateman|Pamela Abdy,Craig Mazin,"Jason Bateman|Melissa McCarthy|Jon Favreau|Amanda Peet|Tip ""T.I."" Harris"
Despicable Me 2, 2013/7/2,Comedy,76000000.0,368065385.0,Certified Fresh,74%,Upright,85%,7.6,Chris Renaud|Pierre Coffin,Chris Meledandri|Janet Healy,Cinco Paul|Ken Daurio,Steve Carell|Kristen Wiig|Benjamin Bratt|Miranda Cosgrove|Russell Brand
People Like Us, 2012/6/29,Drama,16000000.0,12431792.0,Rotten,55%,Upright,62%,7.1,Alex Kurtzman,Roberto Orci|Bobby Cohen,Alex Kurtzman|Roberto Orci|Jody Lambert,Chris Pine|Elizabeth Banks|Michael Hall D'Addario|Michelle Pfeiffer|Olivia Wilde
There's Something About Mary, 1998/7/15,Romantic Comedy,22000000.0,176484651.0,Certified Fresh,83%,Upright,60%,7.1,Bobby Farrelly|Peter Farrelly,Frank Beddor|Michael Steinberg|Charles B. Wessler|Bradley Thomas,Ed Decter|John J. Strauss|Peter Farrelly|Bobby Farrelly,Cameron Diaz|Ben Stiller|Matt Dillon|Lee Evans|Chris Elliott
The Singing Detective, 2003/10/24,Comedy,8000000.0,336456.0,Rotten,39%,Spilled,41%,5.7,Keith Gordon,Mel Gibson|Steven Haft|Bruce Davey,Dennis Potter,"Robert Downey, Jr.|Robin Wright|Mel Gibson|Jeremy Northam|Katie Holmes"
The Adventures of Tintin, 2011/12/21,Adventure,130000000.0,77591831.0,Certified Fresh,75%,Upright,74%,7.4,Steven Spielberg,Steven Spielberg|Peter Jackson|Kathleen Kennedy,Steven Moffat|Edgar Wright|Joe Cornish,Jamie Bell|Andy Serkis|Daniel Craig|Nick Frost|Simon Pegg
Dark Skies, 2013/2/22,Thriller/Suspense,3500000.0,17418667.0,Rotten,39%,Spilled,49%,6.3,Scott Stewart,Jason Blum,Scott Stewart,Keri Russell|Josh Hamilton|Dakota Goyo|Kadan Rockett|J.K. Simmons
Tower Heist, 2011/11/4,Comedy,85000000.0,78046570.0,Fresh,68%,Spilled,49%,6.2,Brett Ratner,Brian Grazer|Eddie Murphy|Kim Roth,Ted Griffin|Jeff Nathanson,Ben Stiller|Eddie Murphy|Casey Affleck|Alan Alda|Matthew Broderick
The Oogieloves in the BIG Balloon Adventure, 2012/8/29,Adventure,20000000.0,1065907.0,Rotten,27%,Upright,68%,7.3,Matthew Diamond,Gayle Dickie|Kenn Viselman,Scott Stabile,Toni Braxton|Cloris Leachman|Christopher Lloyd|Chazz Palminteri|Cary Elwes
School Daze, 1988/2/12,Drama,6000000.0,14545844.0,Rotten,58%,Upright,82%,5.7,Spike Lee,Spike Lee,Spike Lee,Laurence Fishburne|Giancarlo Esposito|Tisha Campbell|Kyme|Spike Lee
Cast Away, 2000/12/22,Drama,85000000.0,233632142.0,Certified Fresh,90%,Upright,83%,7.7,Robert Zemeckis,Steve Starkey|Tom Hanks|Robert Zemeckis|Jack Rapke,William Broyles Jr.,Tom Hanks|Helen Hunt|Nick Searcy|Lari White|Michael Forrest
Thunderbirds, 2004/7/30,Adventure,55000000.0,6768055.0,Rotten,19%,Spilled,36%,4.2,Jonathan Frakes,Tim Bevan|Eric Fellner|Mark Huffam,William Osborne|Michael McCullers,Bill Paxton|Anthony Edwards|Sophia Myles|Ron Cook|Brady Corbet
The Imaginarium of Doctor Parnassus, 2009/12/25,Adventure,30000000.0,7689607.0,Fresh,64%,Upright,60%,6.9,Terry Gilliam,William Vince|Amy Gilliam|Samuel Hadida|Terry Gilliam,Terry Gilliam|Charles McKeown,Heath Ledger|Christopher Plummer|Verne Troyer|Andrew Garfield|Lily Cole
Phantom, 2013/3/1,Thriller/Suspense,18000000.0,1034589.0,Rotten,25%,Spilled,34%,5.8,Todd Robinson,John Watson|Pen Densham|Julian Adams,Todd Robinson,Ed Harris|David Duchovny|William Fichtner|Lance Henriksen|Johnathon Schaech
My Sister's Keeper, 2009/6/26,Drama,27500000.0,49200230.0,Rotten,48%,Upright,72%,7.4,Nick Cassavetes,Mark Johnson|Chuck Pacheco|Scott L. Goldman,Jeremy Leven|Nick Cassavetes,Cameron Diaz|Abigail Breslin|Alec Baldwin|Jason Patric|Sofia Vassilieva
The Kid, 2000/7/7,Comedy,65000000.0,69688384.0,Rotten,49%,Spilled,49%,6.0,Jon Turteltaub,Christina Steinberg|Hunt Lowry|Jon Turteltaub,Audrey Wells,Bruce Willis|Spencer Breslin|Emily Mortimer|Lily Tomlin|Chi McBride
Legion, 2010/1/22,Thriller/Suspense,26000000.0,40168080.0,Rotten,20%,Spilled,31%,5.1,Scott Stewart,David Lancaster|Michel Litvak,Peter Schink|Scott Stewart,Paul Bettany|Lucas Black|Tyrese Gibson|Kate Walsh|Adrianne Palicki
The Brothers Grimm, 2005/8/26,Adventure,80000000.0,37899638.0,Rotten,38%,Spilled,39%,5.9,Terry Gilliam,Charles Roven|Daniel Bobker,Ehren Kruger,Matt Damon|Heath Ledger|Peter Stormare|Lena Headey|Jonathan Pryce
Bruce Almighty, 2003/5/23,Comedy,81000000.0,242704995.0,Rotten,48%,Spilled,57%,6.7,Tom Shadyac,Tom Shadyac|Jim Carrey|James D. Brubaker|Michael Bostick|Steve Koren|Mark O Keefe,Steve Koren|Mark O Keefe|Steve Oedekerk,Jim Carrey|Morgan Freeman|Jennifer Aniston|Philip Baker Hall|Catherine Bell
Battle of the Year, 2013/9/20,Drama,20000000.0,8888355.0,Rotten,6%,Spilled,50%,4.8,Benson Lee,Beau Flynn|Tripp Vinson,Brin Hill|Chris Parker,Josh Holloway|Laz Alonso|Josh Peck|Caity Lotz|Chris Brown
Snow Flower and the Secret Fan, 2011/7/15,Drama,6000000.0,1348205.0,Rotten,21%,Spilled,48%,6.0,Wayne Wang,Wendi Murdoch|Florence Sloan,Angela Workman|Ron Bass|Michael K. Ray,Gianna Jun|Li Bingbing|Vivian Wu|Jiang Wu|Russell Wong
King Kong, 2005/12/14,Adventure,207000000.0,218080025.0,Certified Fresh,84%,Spilled,50%,7.3,Peter Jackson,Jan Blenkin|Carolynne Cunningham|Fran Walsh|Peter Jackson|Philippa Boyens,Peter Jackson|Fran Walsh|Edgar Wallace,Naomi Watts|Jack Black|Adrien Brody|Thomas Kretschmann|Colin Hanks
The Hangover Part II, 2011/5/26,Comedy,80000000.0,254464305.0,Rotten,34%,Spilled,53%,6.5,Todd Phillips,Todd Phillips|Dan Goldberg,Craig Mazin|Scot Armstrong|Todd Phillips,Bradley Cooper|Ed Helms|Zach Galifianakis|Justin Bartha|Ken Jeong
Red Riding Hood, 2011/3/11,Thriller/Suspense,42000000.0,37662162.0,Rotten,10%,Spilled,39%,5.4,Catherine Hardwicke,Jennifer Davisson Killoran|Leonardo DiCaprio|Julie Yorn,David Leslie Johnson,Amanda Seyfried|Gary Oldman|Billy Burke|Shiloh Fernandez|Max Irons
Casper, 1995/5/26,Comedy,55000000.0,100328194.0,Rotten,44%,Spilled,49%,6.0,Brad Silberling,Colin Wilson,Sherri Stoner|Deanna Oliver,Christina Ricci|Bill Pullman|Cathy Moriarty|Eric Idle|Joe Nipote
Celebrity, 1998/11/20,Comedy,12000000.0,5078660.0,Rotten,41%,Spilled,43%,6.3,Woody Allen,Jean Doumanian,Woody Allen,Hank Azaria|Kenneth Branagh|Judy Davis|Leonardo DiCaprio|Melanie Griffith
FUR: An Imaginary Portrait of Diane Arbus, 2006/11/10,Drama,16800000.0,223202.0,Rotten,32%,Upright,64%,6.4,Steven Shainberg,William Pohlad|Laura Bickford|Bonnie Timmermann|Andrew Fierberg,Erin Cressida Wilson,"Nicole Kidman|Robert Downey, Jr.|Ty Burrell|Harris Yulin|Jane Alexander"
The Expendables 3, 2014/8/15,Action,100000000.0,38298670.0,Rotten,33%,Spilled,51%,6.3,Patrick Hughes,Avi Lerner|Kevin King-Templeton|Danny Lerner|Les Weldon|John Thompson,Sylvester Stallone|Creighton Rothenberger|Katrin Benedikt,Sylvester Stallone|Jason Statham|Antonio Banderas|Jet Li|Wesley Snipes
You've Got Mail, 1998/12/18,Drama,65000000.0,115821495.0,Fresh,69%,Upright,73%,6.5,Nora Ephron,Lauren Shuler Donner|Nora Ephron,Nora Ephron|Delia Ephron,Tom Hanks|Meg Ryan|Parker Posey|Jean Stapleton|David Chappelle
Nebraska, 2013/11/15,Drama,12000000.0,17654912.0,Certified Fresh,92%,Upright,83%,7.8,Alexander Payne,Albert Berga|Ron Yerxa,Bob Nelson,Bruce Dern|Will Forte|June Squibb|Stacy Keach|Bob Odenkirk
The Mask, 1994/7/29,Comedy,18000000.0,119920129.0,Certified Fresh,77%,Upright,67%,6.8,Chuck Russell,Bob Engleman,Mike Webb,Jim Carrey|Peter Riegert|Peter Greene|Amy Yasbeck|Richard Jeni
Roll Bounce, 2005/9/23,Comedy,10000000.0,17380866.0,Fresh,64%,Upright,70%,5.9,Malcolm D. Lee,"Robert Teitel|George Tillman, Jr",Norman Vance Jr.,Bow Wow|Chi McBride|Mike Epps|Wesley Jonathan|Kellita Smith
Casino Jack, 2010/12/17,Thriller/Suspense,12500000.0,2039869.0,Rotten,38%,Spilled,35%,6.2,George Hickenlooper,Gary Howsam|Bill Marks|George Zakk,Norman Snider,Kevin Spacey|Barry Pepper|Kelly Preston|Jon Lovitz|Rachelle Lefevre
Alice in Wonderland, 2010/3/5,Adventure,200000000.0,334191110.0,Rotten,51%,Spilled,55%,6.5,Tim Burton,Richard D. Zanuck|Suzanne Todd|Jennifer Todd|Joe Roth,Linda Woolverton,Johnny Depp|Mia Wasikowska|Helena Bonham Carter|Anne Hathaway|Crispin Glover
Signs, 2002/8/2,Thriller/Suspense,70702619.0,227965690.0,Certified Fresh,74%,Upright,67%,6.7,M. Night Shyamalan,M. Night Shyamalan|Frank Marshall|Sam Mercer,M. Night Shyamalan,Mel Gibson|Joaquin Phoenix|Cherry Jones|Rory Culkin|Abigail Breslin
Maleficent, 2014/5/30,Adventure,180000000.0,239251615.0,Rotten,48%,Upright,74%,7.2,Robert Stromberg,Joe Roth,Linda Woolverton,Angelina Jolie|Sharlto Copley|Elle Fanning|Sam Riley|Imelda Staunton
Red State, 2011/3/5,Horror,4000000.0,1065429.0,Rotten,58%,Spilled,55%,6.2,Kevin Smith,Jonathan Gordon|Nhaelan McMillan,Kevin Smith,Michael Parks|Joseph Keenan|Melissa Leo|Kyle Gallner|Michael Angarano
Ghost Rider: Spirit of Vengeance, 2012/2/17,Action,57000000.0,51774002.0,Rotten,18%,Spilled,32%,4.3,Neveldine & Taylor,Steven Paul|Ashok Amritraj|Michael De Luca|Avi Arad,Scott M. Gimple|Seth Hoffman|David S. Goyer,Nicolas Cage|Violante Placido|Ciaran Hinds|Idris Elba|Johnny Whitworth
The To Do List, 2013/7/26,Comedy,1500000.0,3491669.0,Rotten,52%,Spilled,47%,5.8,Maggie Carey,Jennifer Todd|Brian Robbins|Sharla Sumpter Bridgett,Maggie Carey,Aubrey Plaza|Johnny Simmons|Bill Hader|Alia Shawkat|Sarah Steele
The Scorpion King, 2002/4/19,Action,60000000.0,90580000.0,Rotten,41%,Spilled,38%,5.5,Chuck Russell,Stephen Sommers|Sean Daniel|James Jacks|Kevin Misher,Stephen Sommers|William Osborne|David Hayter,Dwayne Johnson|Steven Brand|Kelly Hu|Michael Clarke Duncan|Bernard Hill
Underworld: Awakening, 2012/1/20,Action,70000000.0,62321039.0,Rotten,26%,Upright,62%,6.4,Mans Marlind|Björn Stein,Tom Rosenberg|Gary Lucchesi|Len Wiseman|Richard Wright,Len Wiseman|John Hlavin|J. Michael Straczynski|Allison Burnett,Kate Beckinsale|Stephen Rea|Michael Ealy|Theo James|India Eisley
"I, Robot", 2004/7/16,Action,105000000.0,144801023.0,Rotten,58%,Upright,70%,7.1,Alex Proyas,Lawrence Mark|John Davis|Topher Dow|Wych Godfrey,Jeff Vintar|Akiva Goldsman,Will Smith|Bridget Moynahan|Bruce Greenwood|James Cromwell|Chi McBride
Hannibal, 2001/2/9,Horror,87000000.0,165092266.0,Rotten,39%,Upright,63%,6.7,Ridley Scott,Dino De Laurentiis|Martha De Laurentiis|Ridley Scott,David Mamet,Anthony Hopkins|Julianne Moore|Ray Liotta|Frankie Faison|Giancarlo Giannini
Our Idiot Brother, 2011/8/26,Comedy,5000000.0,24814830.0,Fresh,67%,Spilled,52%,6.5,Jesse Peretz,Anthony Bregman|Marc Turtletaub|Peter Saraf,Evgenia Peretz|David Schigall,Paul Rudd|Elizabeth Banks|Zooey Deschanel|Emily Mortimer|Rashida Jones
21, 2008/3/21,Thriller/Suspense,35000000.0,81159365.0,Rotten,36%,Upright,66%,6.8,Robert Luketic,Michael De Luca|Dana Brunetti|Kevin Spacey,Peter Steinfeld|Allan Loeb,Jim Sturgess|Kate Bosworth|Laurence Fishburne|Kevin Spacey|Aaron Yoo
Harry Potter and the Goblet of Fire, 2005/11/18,Adventure,150000000.0,290013036.0,Certified Fresh,88%,Upright,74%,7.6,Mike Newell,David Heyman,Steve Kloves,Daniel Radcliffe|Rupert Grint|Emma Watson|Robbie Coltrane|Ralph Fiennes
Rush, 2013/9/20,Drama,38000000.0,26947624.0,Certified Fresh,89%,Upright,89%,8.2,Ron Howard,Andrew Eaton|Eric Fellner|Brian Oliver|Peter Morgan|Brian Grazer|Ron Howard,Peter Morgan,Chris Hemsworth|Daniel Bruhl|Olivia Wilde|Alexandra Maria Lara|Pierfrancesco Favino
The Wolf of Wall Street, 2013/12/25,Black Comedy,100000000.0,116900694.0,Certified Fresh,77%,Upright,82%,8.3,Martin Scorsese,Martin Scorsese|Leonardo DiCaprio|Riza Aziz|Joey McFarland|Emma Koskoff,Terence Winter,Leonardo DiCaprio|Jonah Hill|Matthew McConaughey|Kyle Chandler|Rob Reiner
Parker, 2013/1/25,Thriller/Suspense,35000000.0,17616641.0,Rotten,41%,Spilled,48%,6.2,Taylor Hackford,Les Alexander|Steven Chasman|Sidney Kimmel|Jonathan Mitchell|Taylor Hackford,John McLaughlin,"Jason Statham|Jennifer Lopez|Michael Chiklis|Wendell Pierce|Clifton Collins, Jr."
Jumanji, 1995/12/15,Adventure,65000000.0,100458310.0,Rotten,50%,Upright,61%,6.8,Joe Johnston,Scott Kroopf|William Teitler,Jonathan Hensleigh|Greg Taylor|Jim Strain,Robin Williams|Kirsten Dunst|David Alan Grier|Bonnie Hunt|Jonathan Hyde
Land of the Lost, 2009/6/5,Comedy,100000000.0,49438370.0,Rotten,26%,Spilled,32%,5.3,Brad Silberling,Jimmy Miller|Sid Kroft|Marty Kroft,Chris Henchy|Dennis McNicholas,Will Ferrell|Danny McBride|Anna Friel|Jorma Taccone|John Boylan
Eat Pray Love, 2010/8/13,Drama,60000000.0,80574010.0,Rotten,36%,Spilled,42%,5.6,Ryan Murphy,Dede Gardner,Ryan Murphy|Jennifer Salt,Julia Roberts|James Franco|Richard Jenkins|Viola Davis|Billy Crudup
The Good Guy, 2010/2/19,Romantic Comedy,10000000.0,100688.0,Rotten,33%,Spilled,31%,5.9,Julio Depierto,Linda Moran|Rene Bastian|Julio Depierto,Julio Depierto,Alexis Bledel|Scott Porter|Bryan Greenberg|Anna Chlumsky|Aaron Yoo
The Sixth Sense, 1999/8/6,Thriller/Suspense,40000000.0,293506292.0,Certified Fresh,85%,Upright,89%,8.2,M. Night Shyamalan,Frank Marshall|Kathleen Kennedy|Barry Mendel,M. Night Shyamalan,Bruce Willis|Toni Collette|Olivia Williams|Haley Joel Osment|Donnie Wahlberg
Ray, 2004/10/29,Drama,40000000.0,75305995.0,Certified Fresh,81%,Upright,87%,7.8,Taylor Hackford,Taylor Hackford|Stuart Benjamin|Howard Baldwin|Karen Baldwin,James L. White,Jamie Foxx|Kerry Washington|Clifton Powell|Harry J. Lennix|Terrence Howard
The Croods, 2013/3/22,Adventure,135000000.0,187168425.0,Fresh,70%,Upright,78%,7.3,Chris Sanders|Kirk De Micco,Kristine Belson|Jane Hartwell,Kirk DeMicco|Chris Sanders,Nicolas Cage|Emma Stone|Ryan Reynolds|Catherine Keener|Cloris Leachman
The Road to Perdition, 2002/7/12,Drama,80000000.0,104054514.0,Certified Fresh,81%,Upright,86%,7.8,Sam Mendes,Richard D. Zanuck|Dean Zanuck|Sam Mendes,David Self,Tom Hanks|Paul Newman|Jude Law|Jennifer Jason Leigh|Stanley Tucci
A View to a Kill, 1985/5/24,Action,30000000.0,50327960.0,Rotten,36%,Spilled,41%,6.3,John Glen,Michael G. Wilson|Albert R. Broccoli,Michael G. Wilson,Christopher Walken|Desmond Llewelyn|Lois Maxwell|Roger Moore|Tanya Roberts
Changing Lanes, 2002/4/12,Thriller/Suspense,45000000.0,66790248.0,Certified Fresh,77%,Spilled,54%,6.5,Roger Michell,Scott Rudin,Chap Taylor|Michael Tolkin,Ben Affleck|Samuel L. Jackson|Toni Collette|Sydney Pollack|William Hurt
Arlington Road, 1999/7/9,Thriller/Suspense,21500000.0,24419219.0,Fresh,62%,Upright,75%,7.2,Mark Pellington,Peter Samuelson|Tom Goraj|Marc Samuelson,Ehren Kruger,Jeff Bridges|Tim Robbins|Joan Cusack|Hope Davis|Robert Gossett
The Grey, 2012/1/27,Thriller/Suspense,25000000.0,51580136.0,Certified Fresh,79%,Upright,61%,6.8,Joe Carnahan,Joe Carnahan|Jules Daly|Ridley Scott|Mickey Liddell,Joe Carnahan,Liam Neeson|Frank Grillo|Dermot Mulroney|Dallas Roberts|Joe Anderson
Sin City: A Dame to Kill For, 2014/8/22,Action,65000000.0,13614151.0,Rotten,45%,Upright,60%,7.1,Frank Miller|Robert Rodriguez,Robert Rodriguez|Aaron Kaufman|Stephen L'Heureux|Sergei Bespalov|Alexander Rodnyansky|Mark Manuel,Frank Miller,Jessica Alba|Powers Boothe|Josh Brolin|Rosario Dawson|Joseph Gordon-Levitt
Million Dollar Arm, 2014/5/10,Drama,25000000.0,36447959.0,Fresh,62%,Upright,75%,7.3,Craig Gillespie,Mark Ciardi|Gordon Gray|Joe Roth,Tom McCarthy,Jon Hamm|Pitobash Tripathy|Aasif Mandvi|Bill Paxton|Suraj Sharma
Flipped, 2010/8/6,Romantic Comedy,14000000.0,1755212.0,Rotten,55%,Upright,78%,7.7,Rob Reiner,Rob Reiner|Alan Greisman,Rob Reiner|Andrew Scheinman,Madeline Carroll|Callan McAuliffe|Rebecca De Mornay|Anthony Edwards|John Mahoney
Two Weeks Notice, 2002/12/20,Romantic Comedy,60000000.0,93354918.0,Rotten,42%,Upright,60%,6.0,Marc Lawrence,Sandra Bullock,Marc Lawrence,Sandra Bullock|Alicia Witt|Hugh Grant|Dana Ivey|Robert Klein
Despicable Me, 2010/7/9,Comedy,69000000.0,251513985.0,Certified Fresh,81%,Upright,82%,7.7,Chris Renaud|Pierre Coffin,Christopher Meledandri|Janet Healy|John Cohen,Cinco Paul|Ken Daurio,Steve Carell|Jason Segel|Russell Brand|Julie Andrews|Will Arnett
Frankenweenie, 2012/10/5,Comedy,39000000.0,35287788.0,Certified Fresh,87%,Upright,70%,7.0,Tim Burton,Tim Burton|Allison Abbate,John August,Catherine O'Hara|Martin Short|Martin Landau|Charlie Tahan|Atticus Shaffer
Avatar, 2009/12/18,Action,425000000.0,760507625.0,Certified Fresh,83%,Upright,82%,7.9,James Cameron,James Cameron|Jon Landau,James Cameron,Sam Worthington|Zoe Saldana|Sigourney Weaver|Stephen Lang|Michelle Rodriguez
